ID,Age,GPA,Experience,CGPA,Interview_Score,Technical_Skills,Placement_Status
1,26,3.16,4,7.72,38,C++,Not Placed
2,23,2.07,3,7.99,24,C++,Placed
3,32,3.69,2,9.58,18,JavaScript,Placed
4,34,2.1,4,6.37,56,JavaScript,Placed
5,30,2.34,1,9.1,89,JavaScript,Placed
6,27,2.2,4,8.69,22,Python,Placed
7,32,2.16,3,6.59,97,JavaScript,Placed
8,24,2.05,3,7.67,63,JavaScript,Placed
9,26,2.11,4,8.91,70,Java,Placed
10,29,2.88,2,8.9,54,C++,Placed
11,22,2.51,4,8.76,9,Python,Placed
12,26,2.25,3,6.62,63,Java,Placed
13,30,3.32,3,9.11,48,C++,Placed
14,30,2.45,0,6.53,47,Java,Placed
15,27,2.04,2,9.92,81,Python,Placed
16,24,2.84,0,6.62,13,C++,Placed
17,23,2.62,3,8.37,29,C++,Placed
18,27,2.64,2,9.1,94,JavaScript,Placed
19,27,2.89,2,6.03,63,Java,Not Placed
20,22,3.34,2,8.88,59,C++,Placed
21,25,3.23,4,6.9,17,Python,Not Placed
22,24,3.87,4,6.72,9,Java,Not Placed
23,21,3.04,3,6.3,59,JavaScript,Not Placed
24,27,2.95,2,6.76,66,Java,Placed
25,31,2.43,2,8.44,3,C++,Not Placed
26,33,3.51,2,10.0,33,Python,Placed
27,25,2.28,4,8.27,71,C++,Not Placed
28,21,2.98,3,8.42,52,Python,Placed
29,31,2.84,2,7.56,39,C++,Placed
30,24,3.32,2,6.15,1,Java,Placed
31,20,3.84,1,8.93,62,Java,Not Placed
32,31,3.89,0,6.31,33,C++,Placed
33,29,2.34,4,8.88,68,Java,Not Placed
34,25,2.52,1,9.34,53,JavaScript,Placed
35,32,3.62,3,6.89,70,JavaScript,Placed
36,31,3.04,0,9.1,55,C++,Not Placed
37,28,2.91,3,9.65,63,Java,Placed
38,20,3.42,4,8.23,76,Python,Not Placed
39,30,3.2,3,7.71,82,JavaScript,Placed
40,30,3.94,2,8.21,9,JavaScript,Placed
41,34,3.17,2,9.22,29,Java,Placed
42,29,2.93,3,8.47,12,C++,Placed
43,31,3.09,3,8.26,15,Java,Placed
44,31,3.62,3,7.62,17,Java,Not Placed
45,34,3.23,3,6.1,89,Python,Placed
46,33,3.29,2,6.59,68,Python,Placed
47,33,3.94,1,8.05,23,Python,Not Placed
48,34,3.24,1,8.58,17,Java,Placed
49,33,2.76,3,6.72,96,C++,Placed
50,22,3.38,3,8.72,38,C++,Placed
51,31,3.32,0,8.09,99,Java,Placed
52,26,2.03,3,8.68,10,Python,Placed
53,23,2.93,1,8.11,71,C++,Placed
54,28,3.49,4,7.71,33,C++,Not Placed
55,22,3.0,4,7.26,23,Python,Placed
56,24,3.56,3,6.66,80,JavaScript,Not Placed
57,22,2.9,3,6.34,19,Java,Placed
58,26,3.97,4,9.43,74,C++,Not Placed
59,24,2.59,0,8.17,88,JavaScript,Placed
60,28,2.18,1,9.95,59,JavaScript,Placed
61,26,2.86,3,9.38,29,Python,Placed
62,21,3.08,3,6.47,50,Python,Placed
63,23,2.7,0,9.48,0,Python,Not Placed
64,28,2.48,1,9.1,6,C++,Not Placed
65,31,3.34,3,9.95,90,JavaScript,Placed
66,33,2.75,1,9.55,68,C++,Not Placed
67,21,3.26,1,7.43,95,C++,Not Placed
68,29,3.56,4,8.57,5,Python,Not Placed
69,28,3.52,3,8.55,18,C++,Not Placed
70,29,2.75,4,9.77,33,Java,Not Placed
71,24,3.14,1,6.69,22,Python,Placed
72,21,2.9,3,7.76,51,Python,Placed
73,23,3.74,2,8.32,8,Python,Placed
74,31,3.76,2,6.02,35,Python,Not Placed
75,34,2.69,0,6.58,78,Python,Placed
76,31,2.18,4,8.59,32,JavaScript,Not Placed
77,26,2.34,1,7.89,11,JavaScript,Placed
78,31,2.73,2,7.03,26,C++,Placed
79,32,3.13,3,6.76,10,C++,Placed
80,27,3.31,1,9.02,41,Python,Placed
81,34,2.66,0,7.99,60,Python,Not Placed
82,22,3.33,1,7.15,63,Python,Placed
83,33,3.88,0,7.37,49,Python,Not Placed
84,20,3.3,1,9.05,5,Python,Placed
85,23,2.32,3,7.5,26,JavaScript,Placed
86,21,3.16,4,7.57,34,C++,Not Placed
87,27,3.08,2,8.06,41,Java,Not Placed
88,23,3.74,1,6.24,71,Python,Placed
89,21,2.7,1,8.88,4,JavaScript,Placed
90,33,2.85,3,6.36,68,Java,Placed
91,25,3.2,3,9.55,8,C++,Placed
92,25,3.05,2,8.17,45,C++,Placed
93,29,3.44,1,9.77,78,C++,Placed
94,23,2.08,3,7.61,82,C++,Not Placed
95,25,3.13,4,9.93,10,Java,Placed
96,32,2.24,0,8.44,64,C++,Placed
97,34,2.63,0,6.49,79,Java,Placed
98,21,3.32,3,8.25,42,Java,Placed
99,29,2.31,2,6.21,37,Java,Placed
100,31,2.62,3,7.76,61,Python,Placed
101,21,3.41,3,8.69,57,Python,Placed
102,29,3.3,0,6.54,66,Java,Placed
103,33,2.18,3,6.66,93,Python,Placed
104,23,3.15,2,9.05,37,JavaScript,Placed
105,33,2.29,0,7.09,79,Python,Not Placed
106,34,2.5,0,9.42,53,Python,Placed
107,34,2.92,0,8.46,40,JavaScript,Placed
108,27,2.22,4,8.19,9,C++,Placed
109,33,3.99,1,7.58,77,JavaScript,Not Placed
110,26,2.33,3,9.84,14,Python,Not Placed
111,31,3.56,4,8.5,58,JavaScript,Placed
112,28,3.66,3,6.31,79,C++,Placed
113,33,3.99,2,7.63,43,Java,Placed
114,27,2.86,1,6.49,90,C++,Not Placed
115,24,3.75,3,8.94,75,C++,Not Placed
116,32,3.92,3,7.0,28,Python,Placed
117,21,2.35,1,6.07,58,Python,Placed
118,34,2.96,2,9.98,86,JavaScript,Placed
119,24,2.12,2,7.89,76,C++,Placed
120,27,3.24,3,6.14,52,Python,Not Placed
121,29,3.16,1,7.82,0,C++,Placed
122,28,2.41,0,7.09,10,Java,Placed
123,31,3.6,0,8.9,76,Java,Not Placed
124,31,2.07,4,6.03,57,C++,Placed
125,31,3.61,1,6.55,72,C++,Not Placed
126,32,2.05,2,7.42,23,Java,Not Placed
127,28,3.31,4,7.59,61,Java,Placed
128,32,2.16,2,7.95,66,Python,Placed
129,34,2.5,4,7.41,28,Java,Placed
130,32,3.44,2,7.59,4,C++,Placed
131,20,2.56,3,7.94,44,Python,Placed
132,28,3.02,2,9.73,52,C++,Placed
133,26,3.83,1,8.11,22,Java,Placed
134,28,2.1,4,7.72,16,JavaScript,Placed
135,27,3.62,0,6.19,15,Java,Placed
136,20,2.13,3,6.6,25,JavaScript,Placed
137,31,2.25,2,9.03,11,Java,Placed
138,27,2.24,0,9.83,12,C++,Not Placed
139,27,3.99,4,7.53,6,JavaScript,Not Placed
140,34,2.36,3,9.85,26,JavaScript,Placed
141,30,3.79,3,7.31,44,JavaScript,Placed
142,22,3.98,3,9.81,53,Python,Placed
143,20,2.77,0,8.44,40,Python,Placed
144,27,3.26,4,6.12,41,Java,Placed
145,22,3.56,2,6.31,34,Python,Placed
146,22,2.79,4,9.92,0,Java,Placed
147,20,2.32,3,7.22,10,C++,Placed
148,30,2.87,4,6.06,31,JavaScript,Placed
149,24,3.54,2,6.31,1,Python,Placed
150,29,3.56,4,8.12,41,JavaScript,Placed
151,26,2.46,3,6.91,0,Python,Placed
152,29,2.35,3,9.02,89,C++,Not Placed
153,28,3.84,2,9.54,25,Java,Not Placed
154,31,2.09,1,7.45,90,JavaScript,Placed
155,26,3.47,4,8.78,84,JavaScript,Placed
156,28,2.09,3,8.9,99,JavaScript,Not Placed
157,27,3.68,4,7.89,44,Java,Placed
158,31,3.81,2,7.04,45,JavaScript,Not Placed
159,21,2.59,0,9.03,54,Java,Placed
160,20,2.15,0,6.2,17,JavaScript,Not Placed
161,26,2.96,3,6.33,52,Java,Not Placed
162,26,2.6,2,6.47,97,C++,Placed
163,33,2.83,2,7.27,22,Java,Placed
164,27,3.33,4,7.19,43,Python,Placed
165,24,2.42,3,7.27,66,C++,Placed
166,22,2.71,0,6.39,50,C++,Not Placed
167,31,3.57,2,7.68,91,Java,Placed
168,27,3.29,2,7.93,62,C++,Not Placed
169,25,2.65,0,9.53,81,Java,Placed
170,30,3.33,4,9.72,27,Python,Placed
171,22,3.53,4,7.33,35,Java,Not Placed
172,20,3.18,4,9.85,3,JavaScript,Not Placed
173,22,2.48,4,7.9,22,C++,Placed
174,24,2.0,3,9.36,57,JavaScript,Not Placed
175,34,3.61,4,6.03,74,C++,Not Placed
176,33,3.65,4,6.33,31,C++,Placed
177,22,3.4,3,7.7,17,Java,Not Placed
178,20,2.15,2,7.58,85,C++,Not Placed
179,24,3.17,1,7.85,72,Java,Placed
180,29,3.64,4,7.06,12,JavaScript,Not Placed
181,26,2.78,1,8.3,19,Java,Not Placed
182,34,2.4,0,8.96,48,C++,Placed
183,33,3.18,1,6.54,61,C++,Not Placed
184,26,3.65,0,8.19,55,Java,Not Placed
185,30,2.1,1,6.95,21,C++,Placed
186,28,3.19,4,9.55,29,JavaScript,Placed
187,34,3.29,1,9.63,72,Python,Placed
188,34,3.2,2,8.85,51,Java,Not Placed
189,29,3.3,1,6.67,62,Java,Placed
190,29,3.26,0,9.81,47,JavaScript,Not Placed
191,31,2.26,2,8.96,41,Python,Not Placed
192,32,2.47,1,6.41,24,C++,Not Placed
193,22,3.24,0,8.32,2,Python,Placed
194,34,2.04,0,8.47,4,Java,Not Placed
195,26,3.27,4,8.37,98,JavaScript,Placed
196,20,3.33,0,8.14,29,Python,Placed
197,23,2.48,2,6.28,32,Python,Placed
198,32,3.2,3,6.78,86,C++,Not Placed
199,23,3.07,0,9.73,41,Java,Placed
200,33,2.52,2,9.09,31,JavaScript,Placed
201,24,2.93,3,8.26,99,JavaScript,Placed
202,26,3.82,1,8.34,85,C++,Placed
203,26,2.85,0,7.2,30,JavaScript,Placed
204,32,3.26,4,7.29,26,Java,Placed
205,34,2.07,1,6.52,76,C++,Placed
206,30,2.16,4,9.71,60,C++,Placed
207,32,2.16,2,8.62,14,JavaScript,Placed
208,23,3.56,2,7.08,59,JavaScript,Placed
209,32,2.7,3,8.85,87,C++,Placed
210,26,2.46,4,9.41,27,Python,Placed
211,30,3.49,2,8.8,96,Python,Placed
212,22,2.34,4,7.12,66,Python,Not Placed
213,25,2.49,2,6.87,5,Java,Not Placed
214,31,2.86,4,6.43,36,C++,Placed
215,21,2.66,3,7.61,5,Python,Placed
216,29,3.17,1,9.7,65,JavaScript,Not Placed
217,32,2.68,0,6.8,40,C++,Not Placed
218,33,2.79,2,7.92,34,C++,Placed
219,28,3.73,4,6.04,0,JavaScript,Not Placed
220,24,3.77,2,9.38,22,Java,Placed
221,25,3.66,2,8.49,41,C++,Placed
222,31,3.73,0,7.28,93,C++,Not Placed
223,31,3.14,3,6.51,97,Java,Not Placed
224,31,3.29,0,8.52,59,JavaScript,Placed
225,31,3.11,1,8.15,38,Java,Placed
226,23,3.57,1,9.93,97,Python,Not Placed
227,33,3.1,1,7.88,96,Java,Placed
228,33,2.22,1,6.63,79,C++,Not Placed
229,30,3.62,1,9.39,28,Java,Placed
230,29,3.52,4,9.58,15,Java,Placed
231,26,3.64,2,6.41,74,JavaScript,Not Placed
232,31,2.38,4,9.31,8,JavaScript,Placed
233,28,2.54,4,7.05,82,JavaScript,Placed
234,26,2.59,0,8.15,38,Python,Placed
235,33,3.02,0,8.37,78,Java,Placed
236,20,2.27,4,9.58,5,C++,Placed
237,20,2.77,1,6.63,52,C++,Placed
238,28,2.36,3,6.08,38,Java,Placed
239,30,2.53,2,8.39,67,JavaScript,Not Placed
240,33,3.41,1,8.52,48,C++,Not Placed
241,28,3.71,0,9.86,68,JavaScript,Placed
242,23,2.05,4,6.4,71,Java,Placed
243,32,3.13,0,7.63,60,Java,Placed
244,28,2.07,2,8.84,65,JavaScript,Not Placed
245,22,2.17,4,8.22,99,JavaScript,Placed
246,26,3.41,3,9.82,83,Java,Placed
247,25,3.47,4,6.35,82,Java,Placed
248,27,3.63,0,6.58,70,Java,Placed
249,30,2.95,1,8.46,31,Java,Not Placed
250,28,3.72,0,8.52,41,Java,Placed
251,33,2.33,2,7.86,23,Python,Not Placed
252,24,2.5,3,8.96,29,C++,Placed
253,20,2.27,2,7.34,98,Python,Not Placed
254,22,3.6,2,7.1,43,JavaScript,Placed
255,29,2.46,1,6.75,71,Python,Placed
256,31,2.31,0,8.43,54,Python,Placed
257,27,3.25,1,9.22,36,Java,Not Placed
258,34,2.15,1,6.12,17,JavaScript,Placed
259,30,2.09,4,6.64,68,Python,Placed
260,25,2.21,0,9.41,9,Java,Not Placed
261,27,2.0,4,6.09,34,JavaScript,Placed
262,28,3.39,0,6.18,27,Python,Placed
263,23,3.12,1,8.06,12,JavaScript,Not Placed
264,20,2.42,3,7.47,60,Python,Placed
265,33,2.47,4,9.08,56,Python,Not Placed
266,20,3.62,0,8.61,43,JavaScript,Placed
267,29,3.0,4,6.75,99,Python,Placed
268,23,3.4,0,7.35,76,JavaScript,Not Placed
269,31,2.91,4,6.35,86,C++,Not Placed
270,33,2.48,3,6.38,41,C++,Placed
271,26,3.94,0,9.93,64,Java,Not Placed
272,21,3.13,3,6.16,90,Java,Not Placed
273,22,2.26,3,6.73,20,Python,Placed
274,20,2.81,3,7.59,11,Java,Not Placed
275,24,2.66,4,8.37,72,Python,Not Placed
276,20,2.43,2,9.81,70,C++,Placed
277,27,3.87,1,7.55,69,Python,Not Placed
278,20,3.76,2,6.74,90,JavaScript,Placed
279,30,2.4,2,7.96,49,Python,Placed
280,20,2.7,4,9.09,20,JavaScript,Placed
281,21,3.52,2,7.04,90,Python,Placed
282,21,2.42,2,6.68,58,Python,Not Placed
283,31,3.18,4,8.86,25,Python,Not Placed
284,25,3.4,1,8.08,95,C++,Placed
285,26,3.31,1,8.73,19,Java,Not Placed
286,24,3.41,2,7.46,51,JavaScript,Placed
287,20,3.41,1,9.26,65,JavaScript,Placed
288,20,3.93,4,7.7,77,JavaScript,Not Placed
289,22,2.69,3,8.63,71,Python,Placed
290,33,3.76,0,7.53,89,Python,Placed
291,21,2.04,4,8.27,86,Python,Placed
292,24,2.58,1,8.26,88,C++,Placed
293,31,2.1,2,9.19,36,Python,Not Placed
294,29,3.3,1,6.39,19,JavaScript,Placed
295,25,2.2,2,6.9,21,Python,Placed
296,26,3.69,0,7.17,57,Java,Placed
297,23,3.29,3,8.03,42,C++,Placed
298,26,2.06,3,9.63,98,Java,Not Placed
299,30,3.43,4,9.2,11,Java,Not Placed
300,27,3.72,0,9.35,14,C++,Placed
301,30,3.32,4,7.38,42,C++,Placed
302,20,2.06,0,7.34,42,JavaScript,Placed
303,34,3.72,0,8.79,25,C++,Placed
304,25,3.46,3,9.43,47,Python,Placed
305,27,2.76,0,9.83,91,Python,Placed
306,24,2.66,0,7.45,7,C++,Placed
307,23,2.96,1,8.51,59,JavaScript,Placed
308,21,3.73,0,8.81,0,Java,Not Placed
309,25,2.5,3,9.61,96,Java,Not Placed
310,25,2.2,3,8.95,64,Java,Placed
311,30,3.73,3,7.7,37,Python,Not Placed
312,34,2.05,2,9.07,0,Python,Not Placed
313,20,3.82,4,7.8,8,C++,Placed
314,28,2.61,0,9.96,62,JavaScript,Placed
315,31,3.02,2,7.46,41,JavaScript,Placed
316,30,2.26,3,6.29,78,JavaScript,Not Placed
317,25,3.8,3,8.84,40,Java,Placed
318,32,3.5,3,7.19,29,JavaScript,Placed
319,22,3.85,0,8.82,76,JavaScript,Placed
320,23,3.37,2,6.3,45,JavaScript,Placed
321,31,2.37,2,9.95,46,C++,Not Placed
322,30,2.62,1,9.18,67,Python,Placed
323,23,2.97,4,8.75,11,Python,Placed
324,22,3.21,3,8.57,38,JavaScript,Not Placed
325,29,3.85,1,6.56,46,C++,Not Placed
326,22,2.77,0,6.58,84,Java,Placed
327,34,3.41,1,6.31,97,JavaScript,Placed
328,22,3.92,3,9.05,84,Java,Not Placed
329,23,2.3,1,8.85,62,C++,Placed
330,26,3.73,3,9.46,26,C++,Placed
331,23,2.84,1,8.6,37,JavaScript,Placed
332,28,3.46,3,7.58,36,Java,Placed
333,20,2.59,2,9.6,64,Java,Not Placed
334,27,2.67,1,8.47,93,C++,Placed
335,26,2.05,2,6.19,73,Java,Not Placed
336,21,3.94,4,9.59,18,JavaScript,Placed
337,27,3.63,4,9.49,7,JavaScript,Not Placed
338,20,2.19,4,9.03,65,JavaScript,Not Placed
339,30,4.0,1,9.71,12,Python,Placed
340,31,3.21,4,7.59,56,Java,Placed
341,28,3.71,2,9.38,67,JavaScript,Not Placed
342,28,2.13,2,9.73,98,JavaScript,Not Placed
343,21,2.78,4,9.16,55,JavaScript,Placed
344,26,3.34,4,8.93,96,Java,Placed
345,34,2.21,0,7.43,56,Java,Placed
346,33,2.98,0,7.35,73,Python,Placed
347,29,2.89,1,9.59,69,JavaScript,Placed
348,22,2.43,0,6.72,16,JavaScript,Placed
349,26,2.6,2,6.17,62,Python,Placed
350,31,3.93,2,8.56,99,Java,Not Placed
351,29,2.58,1,7.35,19,Python,Placed
352,28,2.43,1,8.92,56,C++,Placed
353,23,3.07,3,9.99,22,Python,Placed
354,31,3.34,0,6.87,88,C++,Not Placed
355,20,3.45,3,7.28,56,C++,Not Placed
356,21,3.51,4,8.39,89,Java,Placed
357,20,2.07,2,8.66,93,JavaScript,Placed
358,33,2.79,1,9.97,57,Python,Placed
359,31,3.55,4,7.98,97,C++,Placed
360,24,3.81,3,6.88,72,JavaScript,Placed
361,24,3.2,4,9.53,5,JavaScript,Not Placed
362,30,2.1,4,8.84,5,Java,Not Placed
363,26,2.79,1,8.48,4,Java,Placed
364,28,2.15,0,9.46,2,Python,Placed
365,28,3.5,1,6.31,36,JavaScript,Not Placed
366,22,2.13,1,7.82,43,Java,Placed
367,22,2.37,0,9.56,41,Python,Placed
368,22,2.83,0,6.33,48,Java,Placed
369,23,2.93,1,8.29,25,C++,Placed
370,27,2.81,0,7.24,99,C++,Not Placed
371,25,2.93,2,8.26,81,Java,Placed
372,27,3.43,4,6.38,81,Python,Placed
373,20,2.74,4,8.16,29,Java,Placed
374,27,3.1,3,8.05,48,Java,Not Placed
375,23,2.61,1,6.26,16,C++,Not Placed
376,30,2.71,4,6.94,82,Java,Not Placed
377,20,3.23,4,6.54,77,JavaScript,Placed
378,27,2.98,4,7.9,88,Python,Placed
379,23,3.45,0,7.13,15,Java,Placed
380,25,3.12,0,8.07,24,C++,Placed
381,27,3.61,4,8.25,21,Java,Placed
382,23,2.89,2,6.03,31,Python,Placed
383,33,2.98,0,9.48,11,Java,Not Placed
384,22,3.34,4,6.59,26,Python,Placed
385,33,2.44,3,9.37,42,JavaScript,Not Placed
386,28,2.77,4,8.18,14,Java,Placed
387,22,3.25,1,6.91,30,Python,Placed
